Feature,Feature Description,When It Was Launched,Competitor,Use Case
Figma Make (Prompt-to-Prototype),"AI-driven tool that lets users create functional prototypes, web apps, and interactive UI through natural language prompts. Transforms ideas and existing Figma designs into working prototypes.",May 2025 (Config 2025); GA July 2025,Figma,Wireframing & Prototyping
Figma Make GA Expansion,"Figma Make rolled out to Starter plan and all seats on paid plans, broadening access to AI prototyping beyond full-seat users.",Late 2025,Figma,Wireframing & Prototyping
FigJam AI Template Generation,"Generate whiteboard templates for team syncs, brainstorms, retros, visual timelines, and org charts from simple natural language prompts.",November 2023; expanded through 2025,Figma (FigJam),Meetings & Workshops
FigJam AI Sort & Summarize Stickies,"AI automatically sorts and summarizes sticky notes on FigJam boards, helping teams organize brainstorming outputs and extract key themes.",November 2023; expanded through 2025,Figma (FigJam),Ideation & Brainstorming
FigJam AI Pre-built Prompts,"Access built-in prompts based on best practices and common use cases, or write custom prompts to generate structured whiteboard content.",2024-2025,Figma (FigJam),Ideation & Brainstorming
Mural AI Clustering,"Automatically groups sticky notes by shared content themes for research synthesis. Includes Preview Mode for reviewing and repositioning clusters before committing. Reduces manual affinity mapping from ~30 minutes to seconds.",January 2026,Mural,Research & Design
Mural AI Chat,"Conversational AI interface allowing teams to request idea generation, content refinement, translation, and clustering through natural language text prompts.",November 2024; expanded through 2025-2026,Mural,Ideation & Brainstorming
Mural AI Content Editing (Translate/Rewrite/Grammar),"AI-powered content editing features including translation, rewriting (concise, descriptive, professional), and grammar/spelling fixes accessible via the Explore with AI button.",January 2025,Mural,Meetings & Workshops
Mural AI Mind Maps,"Generate and visualize mind maps using AI to kickstart creative processes and brainstorming sessions.",2024-2025,Mural,Ideation & Brainstorming
Mural AI Understanding (Summarization),"Creates concise summaries of mural content to synthesize ideas and align teams after workshops or brainstorming sessions.",2024-2025,Mural,Meetings & Workshops
Mural AI Classification (Sentiment),"Categorizes sticky notes by sentiment (positive, neutral, negative) to gauge emotional context of feedback and brainstorming outputs.",2024-2025,Mural,Research & Design
Mural Microsoft 365 Copilot Integration,"Find murals and templates through Copilot; summarize mural content to quickly get up to speed on brainstorming and roadmap updates.",2025,Mural,Strategy & Planning
Lucid AI Diagram Auto-Generation,"Auto-generate flowcharts, mind maps, ERDs, class diagrams, sequence diagrams, and BPMN diagrams from natural language descriptions with assisted layout.",2024-2025,Lucidchart,Diagramming & Mapping
Lucid AI Assisted Layout,"All AI-generated diagrams automatically include assisted layout with shape drop zones, adjustable spacing, and shape-swapping capabilities.",March 2025,Lucidchart,Diagramming & Mapping
Lucid AI Diagram from Attachments,"Generate diagrams by attaching .txt, PDF, or image files to inform the AI, enabling conversion of documents into visual diagrams.",March 2025,Lucidchart,Diagramming & Mapping
Lucid AI Swimlanes,"AI-generated swimlane diagrams for process mapping and workflow visualization.",December 2025,Lucidchart,Diagramming & Mapping
Lucid Agentic AI Workflow Shape Library,"New shape library for designing agentic AI workflows with LLM and cloud application shapes, targeting teams building AI systems.",December 2025,Lucidchart,Diagramming & Mapping
Lucid AI MCP Server Enhancements,"MCP server updates enabling creating share links and collaborator document sharing for AI tool integration.",December 2025,Lucidchart,Diagramming & Mapping
Lucidspark AI Idea Generation & Sorting,"Generate and sort brainstorming ideas using AI, with AI-generated branching for mind maps.",2024-2025,Lucidspark,Ideation & Brainstorming
Lucidspark AI Summarization,"Summarize brainstorming sessions automatically to extract key insights and decisions.",2024-2025,Lucidspark,Ideation & Brainstorming
Microsoft Copilot in Whiteboard - Suggest,"Generates multiple suggestions as sticky notes based on natural language prompts to expand brainstorming sessions and overcome creative blocks.",2024-2025,Microsoft Whiteboard,Ideation & Brainstorming
Microsoft Copilot in Whiteboard - Categorize,"Automatically groups sticky notes under common themes with descriptive headers, organizing unstructured brainstorms for review and presentation.",2024-2025,Microsoft Whiteboard,Meetings & Workshops
Microsoft Copilot in Whiteboard - Summarize,"Creates Loop component summaries with bullet points of whiteboard ideas, shareable via email with links back to the original whiteboard.",2024-2025,Microsoft Whiteboard,Meetings & Workshops
Microsoft Copilot in Loop - Content Drafting,"Draft and add content to Loop pages using AI; ask general and enterprise-specific questions through Copilot Chat.",2024-2025,Microsoft Loop,Meetings & Workshops
Microsoft Copilot in Loop - Change Recap,"Automatically recap and summarize page updates, generate summaries of changes by specific team members or time periods.",2025,Microsoft Loop,Strategy & Planning
Microsoft Loop Cross-App Sync,"Loop components sync across Outlook, Teams, OneNote, Word, and Whiteboard in real time, with Copilot AI available across all surfaces.",2025,Microsoft Loop,Meetings & Workshops
Notion AI Meeting Notes,"Automatically captures and summarizes meeting conversations; integrates with Notion Calendar for automatic note-taking during meetings.",May 2025,Notion,Meetings & Workshops
Notion Enterprise Search,"Unified AI-powered search across Notion and external tools (Teams, SharePoint, OneDrive, Gmail, Linear, Slack, Google Drive, GitHub, Jira) plus searchable PDFs.",May 2025,Notion,Strategy & Planning
Notion Research Mode,"AI analyzes workspace sources and the web to draft detailed research documents in minutes, synthesizing information from multiple sources.",May 2025,Notion,Research & Design
Notion Direct Model Access,"Chat with top AI models (GPT-4o, Claude, etc.) directly in Notion without switching apps, enabling multi-model AI assistance.",May 2025,Notion,Strategy & Planning
Notion AI Autofill,"Smart property completion and task categorization using AI for database properties, automating data entry and organization.",2024-2025,Notion,Agile & Project Management
Notion AI Writing Assistance,"Text generation, rewriting, summarization, and translation capabilities embedded in the writing experience.",2023; expanded through 2025,Notion,Strategy & Planning
Atlassian Rovo Agents in Jira,"Specialized AI agents including Workflow Builder (creates workflows via natural language), Work Readiness Checker (plans and prioritizes), and Rovo Dev (converts work items to code).",2025,Atlassian (Jira),Agile & Project Management
Atlassian Rovo Chat,"Rapid AI-powered information retrieval and onboarding assistance across Jira and connected tools, with browser extension for cross-tool access.",2025,Atlassian (Jira),Agile & Project Management
Atlassian AI Work Breakdown,"Automatically breaks down complex Jira work items into manageable tasks with AI-generated summaries and descriptions.",2025,Atlassian (Jira),Agile & Project Management
Atlassian AI Related Work Detection,"Surfaces related work items and Confluence pages for context, flags potential duplicates, and routes incoming work to the right team.",2025,Atlassian (Jira),Agile & Project Management
Confluence AI Page Summarization,"Summarize pages, blog posts, comments, Smart Links, and whiteboard content. Also summarize page changes since last visit.",2024-2025,Atlassian (Confluence),Strategy & Planning
Confluence AI Content Creation,"Draft new content from scratch, improve/polish existing writing, change format and tone for different audiences, and translate content.",2024-2025,Atlassian (Confluence),Strategy & Planning
Confluence Brainstorm Facilitator Agent,"AI agent for idea generation in Confluence whiteboards, acting as a digital facilitator for brainstorming sessions.",2025,Atlassian (Confluence),Ideation & Brainstorming
Confluence Meeting Insights Reporter Agent,"AI agent that generates meeting notes and action items automatically from Confluence meeting pages.",2025,Atlassian (Confluence),Meetings & Workshops
Confluence Custom Agents via Studio,"Build custom AI agents for team-specific needs using Atlassian's Rovo Studio, deployable across Confluence and Jira.",2025,Atlassian (Confluence),Strategy & Planning
Asana AI Teammates,"Collaborative AI agents that work alongside team members. Assignable to tasks like any other team member, with updates in existing collaboration spaces. Supports campaign management, product launches, and strategic planning.",Fall 2025 (Beta),Asana,Agile & Project Management
Asana AI Risk Reports,"AI-powered risk reports within project smart summaries that identify potential project risks before they become blockers, with weekly automated risk assessments.",Fall 2025,Asana,Agile & Project Management
Asana AI Studio,"No-code builder for creating custom AI workflows across intake, planning, execution, and reporting stages. Includes prebuilt workflows for strategic planning, campaigns, and product launches.",Summer 2025,Asana,Strategy & Planning
Asana Smart Workflow Gallery,"Ready-to-use AI workflows tailored to specific needs including Campaign Management, Kanban boards, and Goal Setting Operations with built-in AI rules.",Summer 2025,Asana,Agile & Project Management
Asana Multilingual Semantic AI Search,"AI search that understands context and intent across languages for faster information discovery across projects and tasks.",Fall 2025,Asana,Strategy & Planning
Asana Microsoft 365 Copilot Integration,"Smart Chat for accessing Asana project insights directly within Microsoft Teams, bridging project management and communication.",Summer 2025,Asana,Agile & Project Management
Monday.com AI Blocks,"Modular no-code AI actions for workflows: extract info from text, summarize content, categorize requests, detect sentiment, translate, and run custom AI prompts.",February 2025,Monday.com,Agile & Project Management
Monday.com monday Expert (AI Agent),"First AI agent designed to assist with onboarding new users, provide platform guidance, and carry out tasks on users' behalf.",March 2025,Monday.com,Agile & Project Management
Monday.com monday sidekick,"AI-powered Digital Worker for marketing workflows: drafts briefs/emails/copy in brand voice, localizes content, flags bottlenecks, auto-generates campaign briefs based on team capacity.",August 2025,Monday.com,Strategy & Planning
Monday.com monday magic,"Generates complete project workflows from single natural language prompts, creating boards with tasks, timelines, and automations.",2025 (Elevate),Monday.com,Agile & Project Management
Monday.com monday vibe,"No-code AI builder for creating custom apps within the Monday.com platform.",2025 (Elevate),Monday.com,Agile & Project Management
Monday.com Lead & SDR Agents,"AI agents for sales: Lead Agent identifies/qualifies leads and enriches data; SDR Agent makes calls, conducts initial conversations, and captures interactions in monday CRM.",2025 (Elevate),Monday.com,Strategy & Planning
Monday.com Predictive Analytics,"AI analyzes historical project data to forecast bottlenecks, delays, and resource issues before they impact timelines.",2025,Monday.com,Agile & Project Management
Monday.com Intelligent Resource Allocation,"AI assigns the right people to the right projects and helps balance capacity while preventing burnout.",2025,Monday.com,Agile & Project Management
Linear AI Product Intelligence,"Automatically routes incoming work to the right team, finds related issues, and flags potential duplicates, turning backlog from noise into actionable context.",2025,Linear,Agile & Project Management
Linear Pulse,"AI-generated real-time feed delivering personalized daily or weekly updates on what's happening across your product organization, available as text or audio summaries.",2025,Linear,Agile & Project Management
Linear AI Agents,"First-class AI team members assignable to issues and projects. Includes Codegen (code gen/debugging), ChatPRD (requirements writing), and Devin (issue scoping/PR drafting).",May 2025,Linear,Agile & Project Management
Linear MCP Server,"Connect Linear directly to AI tools like Cursor, Claude, and ChatGPT to pull project context or push information without switching apps.",2025,Linear,Agile & Project Management
Linear LLM Summaries,"Automatic AI summaries of document changes in inbox, email, and Slack notifications, filtering out minor grammar and styling updates.",2025,Linear,Agile & Project Management
Productboard Spark,"Next-gen AI for product managers: synthesizes customer feedback in seconds, generates feature specs/PRDs/discovery plans, and conducts competitive research with product context awareness.",2025,Productboard,Research & Design
Productboard AI Feature Specs,"Automatically drafts feature specifications by synthesizing customer feedback, including problem statements and pain point summaries from linked insights.",2024-2025,Productboard,Research & Design
Productboard AI Topics & Themes,"Automatically categorizes feedback and identifies patterns/themes across customer insights at scale.",2024-2025,Productboard,Research & Design
Productboard AI Insights Auto-linking,"Connects related feedback and insights automatically, helping PMs discover connections across customer conversations.",2024-2025,Productboard,Research & Design
Productboard AI Feedback Summarization,"Automatically summarizes customer feedback notes at scale, distilling large volumes of input into actionable summaries.",2024-2025,Productboard,Research & Design
Canva Magic Write,"AI copywriting tool supporting outlining, rewriting, paraphrasing, grammar checking, and summarization across 100+ languages. Over 10 billion words written using the feature.",2023; expanded through 2025-2026,Canva,Presentation & Slides
Canva Magic Switch 3.0,"Converts designs between formats instantly: whiteboards to blog posts, presentations to summary emails. Translates designs into 150+ languages while retaining typography.",2025,Canva,Presentation & Slides
Canva Magic Media (4K Video & Images),"Supports 4K video generation up to 60 seconds and hyper-realistic image synthesis with precise lighting control.",2025,Canva,Presentation & Slides
Canva Magic Morph,"Applies texture and 3D effects to text and shapes via text prompting for creative visual design.",2024-2025,Canva,Presentation & Slides
Canva Magic Expand & Grab,"Uses advanced in-painting to expand image borders seamlessly or extract subjects from flattened JPEGs for editing.",2024-2025,Canva,Research & Design
Canva Brand Voice AI,"Enterprise-grade feature enforcing tone, style, and color palette consistency across all AI-generated assets.",2025,Canva,Strategy & Planning
Canva AI Whiteboard Brainstorming,"AI-powered brainstorming on infinite canvas whiteboards with Magic Write integration for content generation during collaboration.",2024-2025,Canva,Ideation & Brainstorming
Whimsical AI Text-to-Flowchart,"Generate user flows, process diagrams, and flowcharts from natural language text descriptions.",2023; expanded through 2025,Whimsical,Diagramming & Mapping
Whimsical AI Mind Maps,"AI-powered mind map generation for brainstorming new ideas and summarizing information with branching structures.",2023; expanded through 2025,Whimsical,Ideation & Brainstorming
Whimsical AI Wireframes,"AI-assisted wireframe creation with drag-and-drop components for rapid UI/UX prototyping.",2023; expanded through 2025,Whimsical,Wireframing & Prototyping
Whimsical AI Model Upgrade (o4-mini),"Upgraded AI engine to o4-mini model for better performance across all AI features (flowcharts, mind maps, wireframes).",August 2025,Whimsical,Diagramming & Mapping
